PassengerId,Survived,Pclass,Sex,Age,Fare,Embarked,Title,Family
1,0.0,3,0,2,1,0,1,1
2,1.0,1,1,3,3,2,3,1
3,1.0,3,1,2,1,0,2,0
4,1.0,1,1,3,3,0,3,1
5,0.0,3,0,3,1,0,1,0
6,0.0,3,0,2,1,1,1,0
7,0.0,1,0,5,3,0,1,0
8,0.0,3,0,0,2,0,4,2
9,1.0,3,1,2,1,0,3,1
10,1.0,2,1,1,2,2,3,1
11,1.0,3,1,0,2,0,2,1
12,1.0,1,1,5,2,0,2,0
13,0.0,3,0,1,1,0,1,0
14,0.0,3,0,3,2,0,1,2
15,0.0,3,1,1,1,0,2,0
16,1.0,2,1,5,2,0,3,0
17,0.0,3,0,0,2,1,4,2
18,1.0,2,0,2,2,0,1,0
19,0.0,3,1,3,2,0,3,1
20,1.0,3,1,2,1,2,3,0
21,0.0,2,0,3,2,0,1,0
22,1.0,2,0,3,2,0,1,0
23,1.0,3,1,1,1,1,2,0
24,1.0,1,0,2,2,0,1,0
25,0.0,3,1,0,2,0,2,2
26,1.0,3,1,3,2,0,3,2
27,0.0,3,0,2,1,2,1,0
28,0.0,1,0,1,4,0,1,2
29,1.0,3,1,2,1,1,2,0
30,0.0,3,0,2,1,0,1,0
31,0.0,1,0,3,2,2,5,0
32,1.0,1,1,3,4,2,3,1
33,1.0,3,1,2,1,1,2,0
34,0.0,2,0,6,1,0,1,0
35,0.0,1,0,2,3,2,1,1
36,0.0,1,0,4,3,0,1,1
37,1.0,3,0,2,1,2,1,0
38,0.0,3,0,2,1,0,1,0
39,0.0,3,1,1,2,0,2,1
40,1.0,3,1,1,2,2,2,1
41,0.0,3,1,3,1,0,3,1
42,0.0,2,1,2,2,0,3,1
43,0.0,3,0,2,1,2,1,0
44,1.0,2,1,0,3,2,2,1
45,1.0,3,1,1,1,1,2,0
46,0.0,3,0,2,1,0,1,0
47,0.0,3,0,2,2,1,1,1
48,1.0,3,1,2,1,1,2,0
49,0.0,3,0,2,2,2,1,1
50,0.0,3,1,1,2,0,3,1
51,0.0,3,0,0,2,0,4,2
52,0.0,3,0,2,1,0,1,0
53,1.0,1,1,4,3,2,3,1
54,1.0,2,1,2,2,0,3,1
55,0.0,1,0,6,3,2,1,1
56,1.0,1,0,3,2,0,1,0
57,1.0,2,1,2,1,0,2,0
58,0.0,3,0,2,1,2,1,0
59,1.0,2,1,0,2,0,2,1
60,0.0,3,0,1,3,0,4,2
61,0.0,3,0,2,1,2,1,0
62,1.0,1,1,3,3,0,2,0
63,0.0,1,0,4,3,0,1,1
64,0.0,3,0,0,2,0,4,2
65,0.0,1,0,3,2,2,1,0
66,1.0,3,0,2,2,2,4,1
67,1.0,2,1,2,1,0,3,0
68,0.0,3,0,1,1,0,1,0
69,1.0,3,1,1,1,0,2,2
70,0.0,3,0,2,1,0,1,1
71,0.0,2,0,3,1,0,1,0
72,0.0,3,1,1,3,0,2,2
73,0.0,2,0,2,3,0,1,0
74,0.0,3,0,2,2,2,1,1
75,1.0,3,0,3,3,0,1,0
76,0.0,3,0,2,1,0,1,0
77,0.0,3,0,2,1,0,1,0
78,0.0,3,0,2,1,0,1,0
79,1.0,2,0,0,2,0,4,1
80,1.0,3,1,2,2,0,2,0
81,0.0,3,0,2,1,0,1,0
82,1.0,3,0,2,1,0,1,0
83,1.0,3,1,2,1,1,2,0
84,0.0,1,0,2,3,0,1,0
85,1.0,2,1,1,1,0,2,0
86,1.0,3,1,3,2,0,3,1
87,0.0,3,0,1,2,0,1,2
88,0.0,3,0,2,1,0,1,0
89,1.0,1,1,2,4,0,2,2
90,0.0,3,0,2,1,0,1,0
91,0.0,3,0,2,1,0,1,0
92,0.0,3,0,1,1,0,1,0
93,0.0,1,0,4,3,0,1,1
94,0.0,3,0,2,2,0,1,1
95,0.0,3,0,5,1,0,1,0
96,0.0,3,0,2,1,0,1,0
97,0.0,1,0,7,2,2,1,0
98,1.0,1,0,2,3,2,1,1
99,1.0,2,1,3,2,0,3,1
100,0.0,2,0,3,2,0,1,1
101,0.0,3,1,2,1,0,2,0
102,0.0,3,0,2,1,0,1,0
103,0.0,1,0,2,3,0,1,1
104,0.0,3,0,3,1,0,1,0
105,0.0,3,0,3,1,0,1,1
106,0.0,3,0,2,1,0,1,0
107,1.0,3,1,2,1,0,2,0
108,1.0,3,0,2,1,0,1,0
109,0.0,3,0,3,1,0,1,0
110,1.0,3,1,2,2,1,2,1
111,0.0,1,0,4,3,0,1,0
112,0.0,3,1,1,2,2,2,1
113,0.0,3,0,2,1,0,1,0
114,0.0,3,1,1,1,0,2,1
115,0.0,3,1,1,2,2,2,0
116,0.0,3,0,2,1,0,1,0
117,0.0,3,0,6,1,1,1,0
118,0.0,2,0,2,2,0,1,1
119,0.0,1,0,2,4,2,1,1
120,0.0,3,1,0,2,0,2,2
121,0.0,2,0,2,3,0,1,1
122,0.0,3,0,2,1,0,1,0
123,0.0,2,0,3,2,2,1,1
124,1.0,2,1,3,2,0,2,0
125,0.0,1,0,5,3,0,1,1
126,1.0,3,0,1,2,2,4,1
127,0.0,3,0,2,1,1,1,0
128,1.0,3,0,2,1,0,1,0
129,1.0,3,1,2,2,2,2,1
130,0.0,3,0,4,1,0,1,0
131,0.0,3,0,3,1,2,1,0
132,0.0,3,0,1,1,0,1,0
133,0.0,3,1,4,2,0,3,1
134,1.0,2,1,2,2,0,3,1
135,0.0,2,0,2,2,0,1,0
136,0.0,2,0,2,2,2,1,0
137,1.0,1,1,1,2,0,2,1
138,0.0,1,0,3,3,0,1,1
139,0.0,3,0,1,1,0,1,0
140,0.0,1,0,2,3,2,1,0
141,0.0,3,1,2,2,2,3,1
142,1.0,3,1,2,1,0,2,0
143,1.0,3,1,2,2,0,3,1
144,0.0,3,0,1,1,1,1,0
145,0.0,2,0,1,2,0,1,0
146,0.0,2,0,1,2,0,1,1
147,1.0,3,0,2,1,0,1,0
148,0.0,3,1,0,2,0,2,2
149,0.0,2,0,3,2,0,1,1
150,0.0,2,0,4,2,0,5,0
151,0.0,2,0,5,2,0,5,0
152,1.0,1,1,2,3,0,3,1
153,0.0,3,0,5,1,0,1,0
154,0.0,3,0,3,2,0,1,1
155,0.0,3,0,2,1,0,1,0
156,0.0,1,0,5,3,2,1,1
157,1.0,3,1,1,1,1,2,0
158,0.0,3,0,2,1,0,1,0
159,0.0,3,0,2,1,0,1,0
160,0.0,3,0,2,3,0,4,2
161,0.0,3,0,4,2,0,1,1
162,1.0,2,1,3,2,0,3,0
163,0.0,3,0,2,1,0,1,0
164,0.0,3,0,1,1,0,1,0
165,0.0,3,0,0,2,0,4,2
166,1.0,3,0,0,2,0,4,1
167,1.0,1,1,3,3,0,3,1
168,0.0,3,1,4,2,0,3,2
169,0.0,1,0,3,2,0,1,0
170,0.0,3,0,2,3,0,1,0
171,0.0,1,0,6,2,0,1,0
172,0.0,3,0,0,2,1,4,2
173,1.0,3,1,0,1,0,2,1
174,0.0,3,0,2,1,0,1,0
175,0.0,1,0,5,2,2,1,0
176,0.0,3,0,1,1,0,1,1
177,0.0,3,0,2,2,0,4,2
178,0.0,1,1,4,2,2,2,0
179,0.0,2,0,2,2,0,1,0
180,0.0,3,0,3,0,0,1,0
181,0.0,3,1,2,3,0,2,2
182,0.0,2,0,2,2,2,1,0
183,0.0,3,0,0,2,0,4,2
184,1.0,2,0,0,2,0,4,1
185,1.0,3,1,0,2,0,2,1
186,0.0,1,0,3,3,0,1,0
187,1.0,3,1,2,2,1,3,1
188,1.0,1,0,4,2,0,1,0
189,0.0,3,0,3,2,1,1,1
190,0.0,3,0,3,1,0,1,0
191,1.0,2,1,3,2,0,3,0
192,0.0,2,0,1,2,0,1,0
193,1.0,3,1,1,1,0,2,1
194,1.0,2,0,0,2,0,4,1
195,1.0,1,1,4,2,2,3,0
196,1.0,1,1,5,4,2,2,0
197,0.0,3,0,2,1,1,1,0
198,0.0,3,0,4,1,0,1,1
199,1.0,3,1,2,1,1,2,0
200,0.0,2,1,2,2,0,2,0
201,0.0,3,0,2,1,0,1,0
202,0.0,3,0,2,3,0,1,2
203,0.0,3,0,3,1,0,1,0
204,0.0,3,0,4,1,2,1,0
205,1.0,3,0,1,1,0,1,0
206,0.0,3,1,0,1,0,2,1
207,0.0,3,0,3,2,0,1,1
208,1.0,3,0,2,2,2,1,0
209,1.0,3,1,1,1,1,2,0
210,1.0,1,0,3,2,2,1,0
211,0.0,3,0,2,1,0,1,0
212,1.0,2,1,3,2,0,2,0
213,0.0,3,0,2,1,0,1,0
214,0.0,2,0,2,2,0,1,0
215,0.0,3,0,2,1,1,1,1
216,1.0,1,1,3,3,2,2,1
217,1.0,3,1,2,1,0,2,0
218,0.0,2,0,4,2,0,1,1
219,1.0,1,1,3,3,2,2,0
220,0.0,2,0,2,1,0,1,0
221,1.0,3,0,1,1,0,1,0
222,0.0,2,0,2,2,0,1,0
223,0.0,3,0,5,1,0,1,0
224,0.0,3,0,2,1,0,1,0
225,1.0,1,0,3,3,0,1,1
226,0.0,3,0,2,1,0,1,0
227,1.0,2,0,1,1,0,1,0
228,0.0,3,0,1,1,0,1,0
229,0.0,2,0,1,2,0,1,0
230,0.0,3,1,2,2,0,2,2
231,1.0,1,1,3,3,0,3,1
232,0.0,3,0,2,1,0,1,0
233,0.0,2,0,5,2,0,1,0
234,1.0,3,1,0,2,0,2,2
235,0.0,2,0,2,1,0,1,0
236,0.0,3,1,2,1,0,2,0
237,0.0,2,0,4,2,0,1,1
238,1.0,2,1,0,2,0,2,1
239,0.0,2,0,1,1,0,1,0
240,0.0,2,0,3,2,0,1,0
241,0.0,3,1,2,2,2,2,1
242,1.0,3,1,2,2,1,2,1
243,0.0,2,0,2,1,0,1,0
244,0.0,3,0,2,1,0,1,0
245,0.0,3,0,2,1,2,1,0
246,0.0,1,0,4,3,1,5,1
247,0.0,3,1,2,1,0,2,0
248,1.0,2,1,2,2,0,3,1
249,1.0,1,0,3,3,0,1,1
250,0.0,2,0,5,2,0,5,1
251,0.0,3,0,2,1,0,1,0
252,0.0,3,1,2,1,0,3,1
253,0.0,1,0,6,2,0,1,0
254,0.0,3,0,2,2,0,1,1
255,0.0,3,1,4,2,0,3,1
256,1.0,3,1,2,2,2,3,1
257,1.0,1,1,3,3,2,3,0
258,1.0,1,1,2,3,0,2,0
259,1.0,1,1,3,4,2,2,0
260,1.0,2,1,4,2,0,3,1
261,0.0,3,0,2,1,1,1,0
262,1.0,3,0,0,2,0,4,2
263,0.0,1,0,5,3,0,1,1
264,0.0,1,0,3,0,0,1,0
265,0.0,3,1,2,1,1,2,0
266,0.0,2,0,3,1,0,1,0
267,0.0,3,0,1,2,0,1,2
268,1.0,3,0,2,1,0,1,1
269,1.0,1,1,5,4,0,3,1
270,1.0,1,1,3,3,0,2,0
271,0.0,1,0,3,2,0,1,0
272,1.0,3,0,2,0,0,1,0
273,1.0,2,1,4,2,0,3,1
274,0.0,1,0,3,2,2,1,1
275,1.0,3,1,2,1,1,2,0
276,1.0,1,1,6,3,0,2,1
277,0.0,3,1,4,1,0,2,0
278,0.0,2,0,2,0,0,1,0
279,0.0,3,0,0,2,1,4,2
280,1.0,3,1,3,2,0,3,1
281,0.0,3,0,6,1,1,1,0
282,0.0,3,0,2,1,0,1,0
283,0.0,3,0,1,1,0,1,0
284,1.0,3,0,1,1,0,1,0
285,0.0,1,0,3,2,0,1,0
286,0.0,3,0,3,1,2,1,0
287,1.0,3,0,2,1,0,1,0
288,0.0,3,0,2,1,0,1,0
289,1.0,2,0,4,2,0,1,0
290,1.0,3,1,2,1,1,2,0
291,1.0,1,1,2,3,0,2,0
292,1.0,1,1,1,3,2,3,1
293,0.0,2,0,3,2,2,1,0
294,0.0,3,1,2,1,0,2,0
295,0.0,3,0,2,1,0,1,0
296,0.0,1,0,3,2,2,1,0
297,0.0,3,0,2,1,2,1,0
298,0.0,1,1,0,4,0,2,1
299,1.0,1,0,3,2,0,1,0
300,1.0,1,1,4,4,2,3,1
301,1.0,3,1,2,1,1,2,0
302,1.0,3,0,2,2,1,1,1
303,0.0,3,0,1,0,0,1,0
304,1.0,2,1,2,2,1,2,0
305,0.0,3,0,2,1,0,1,0
306,1.0,1,0,0,4,0,4,1
307,1.0,1,1,3,3,2,2,0
308,1.0,1,1,1,3,2,3,1
309,0.0,2,0,2,2,2,1,1
310,1.0,1,1,2,3,2,2,0
311,1.0,1,1,2,3,2,2,0
312,1.0,1,1,1,4,2,2,2
313,0.0,2,1,2,2,0,3,1
314,0.0,3,0,2,1,0,1,0
315,0.0,2,0,4,2,0,1,1
316,1.0,3,1,2,1,0,2,0
317,1.0,2,1,2,2,0,3,1
318,0.0,2,0,5,2,0,5,0
319,1.0,1,1,3,4,0,2,1
320,1.0,1,1,3,3,2,3,1
321,0.0,3,0,2,1,0,1,0
322,0.0,3,0,2,1,0,1,0
323,1.0,2,1,2,2,1,2,0
324,1.0,2,1,2,2,0,3,1
325,0.0,3,0,2,3,0,1,2
326,1.0,1,1,3,3,2,2,0
327,0.0,3,0,6,1,0,1,0
328,1.0,2,1,3,2,0,3,0
329,1.0,3,1,3,2,0,3,1
330,1.0,1,1,1,3,2,2,1
331,1.0,3,1,2,2,1,2,1
332,0.0,1,0,4,2,0,1,0
333,0.0,1,0,3,4,0,1,1
334,0.0,3,0,1,2,0,1,1
335,1.0,1,1,3,3,0,3,1
336,0.0,3,0,2,1,0,1,0
337,0.0,1,0,2,3,0,1,1
338,1.0,1,1,4,3,2,2,0
339,1.0,3,0,4,1,0,1,0
340,0.0,1,0,4,2,0,1,0
341,1.0,2,0,0,2,0,4,1
342,1.0,1,1,2,4,0,2,2
343,0.0,2,0,2,2,0,1,0
344,0.0,2,0,2,2,0,1,0
345,0.0,2,0,3,2,0,1,0
346,1.0,2,1,2,2,0,2,0
347,1.0,2,1,3,2,0,2,0
348,1.0,3,1,2,2,0,3,1
349,1.0,3,0,0,2,0,4,1
350,0.0,3,0,4,1,0,1,0
351,0.0,3,0,2,1,0,1,0
352,0.0,1,0,3,2,0,1,0
353,0.0,3,0,1,1,2,1,1
354,0.0,3,0,2,2,0,1,1
355,0.0,3,0,2,1,2,1,0
356,0.0,3,0,2,1,0,1,0
357,1.0,1,1,2,3,0,2,1
358,0.0,2,1,3,2,0,2,0
359,1.0,3,1,2,1,1,2,0
360,1.0,3,1,2,1,1,2,0
361,0.0,3,0,3,2,0,1,2
362,0.0,2,0,2,2,2,1,1
363,0.0,3,1,4,2,2,3,1
364,0.0,3,0,3,1,0,1,0
365,0.0,3,0,2,2,1,1,1
366,0.0,3,0,2,1,0,1,0
367,1.0,1,1,5,3,2,3,1
368,1.0,3,1,2,1,2,3,0
369,1.0,3,1,2,1,1,2,0
370,1.0,1,1,2,3,2,3,0
371,1.0,1,0,2,3,2,1,1
372,0.0,3,0,1,1,0,1,1
373,0.0,3,0,1,1,0,1,0
374,0.0,1,0,2,3,2,1,0
375,0.0,3,1,0,2,0,2,2
376,1.0,1,1,3,3,2,3,1
377,1.0,3,1,2,1,0,2,0
378,0.0,1,0,2,4,2,1,1
379,0.0,3,0,1,1,2,1,0
380,0.0,3,0,1,1,0,1,0
381,1.0,1,1,4,4,2,2,0
382,1.0,3,1,0,2,2,2,1
383,0.0,3,0,3,1,0,1,0
384,1.0,1,1,3,3,0,3,1
385,0.0,3,0,2,1,0,1,0
386,0.0,2,0,1,3,0,1,0
387,0.0,3,0,0,3,0,4,2
388,1.0,2,1,3,2,0,2,0
389,0.0,3,0,2,1,1,1,0
390,1.0,2,1,1,2,2,2,0
391,1.0,1,0,3,3,0,1,1
392,1.0,3,0,2,1,0,1,0
393,0.0,3,0,2,1,0,1,1
394,1.0,1,1,2,3,2,2,1
395,1.0,3,1,2,2,0,3,1
396,0.0,3,0,2,1,0,1,0
397,0.0,3,1,3,1,0,2,0
398,0.0,2,0,4,2,0,1,0
399,0.0,2,0,2,1,0,5,0
400,1.0,2,1,2,2,0,3,0
401,1.0,3,0,3,1,0,1,0
402,0.0,3,0,2,1,0,1,0
403,0.0,3,1,2,1,0,2,1
404,0.0,3,0,2,2,0,1,1
405,0.0,3,1,1,1,0,2,0
406,0.0,2,0,3,2,0,1,1
407,0.0,3,0,5,1,0,1,0
408,1.0,2,0,0,2,0,4,1
409,0.0,3,0,2,1,0,1,0
410,0.0,3,1,2,2,0,2,2
411,0.0,3,0,2,1,0,1,0
412,0.0,3,0,2,1,1,1,0
413,1.0,1,1,3,3,1,2,1
414,0.0,2,0,2,0,0,1,0
415,1.0,3,0,4,1,0,1,0
416,0.0,3,1,2,1,0,3,0
417,1.0,2,1,3,2,0,3,1
418,1.0,2,1,1,2,0,2,1
419,0.0,2,0,2,2,0,1,0
420,0.0,3,1,0,2,0,2,1
421,0.0,3,0,2,1,2,1,0
422,0.0,3,0,2,1,1,1,0
423,0.0,3,0,2,1,0,1,0
424,0.0,3,1,2,2,0,3,1
425,0.0,3,0,1,2,0,1,1
426,0.0,3,0,2,1,0,1,0
427,1.0,2,1,2,2,0,3,1
428,1.0,2,1,1,2,0,2,0
429,0.0,3,0,2,1,1,1,0
430,1.0,3,0,3,1,0,1,0
431,1.0,1,0,2,2,0,1,0
432,1.0,3,1,2,2,0,3,1
433,1.0,2,1,4,2,0,3,1
434,0.0,3,0,1,1,0,1,0
435,0.0,1,0,4,3,0,1,1
436,1.0,1,1,1,3,0,2,1
437,0.0,3,1,2,2,0,2,2
438,1.0,2,1,2,2,0,3,2
439,0.0,1,0,6,4,0,1,2
440,0.0,2,0,3,1,0,1,0
441,1.0,2,1,4,2,0,3,1
442,0.0,3,0,1,1,0,1,0
443,0.0,3,0,2,1,0,1,1
444,1.0,2,1,2,2,0,2,0
445,1.0,3,0,2,1,0,1,0
446,1.0,1,0,0,3,0,4,1
447,1.0,2,1,1,2,0,2,1
448,1.0,1,0,3,2,0,1,0
449,1.0,3,1,0,2,2,2,1
450,1.0,1,0,5,2,0,5,0
451,0.0,2,0,3,2,0,1,1
452,0.0,3,0,2,2,0,1,1
453,0.0,1,0,2,2,2,1,0
454,1.0,1,0,4,3,2,1,1
455,0.0,3,0,2,1,0,1,0
456,1.0,3,0,2,1,2,1,0
457,0.0,1,0,6,2,0,1,0
458,1.0,1,1,3,3,0,3,1
459,1.0,2,1,4,1,0,2,0
460,0.0,3,0,2,1,1,1,0
461,1.0,1,0,4,2,0,1,0
462,0.0,3,0,3,1,0,1,0
463,0.0,1,0,4,2,0,1,0
464,0.0,2,0,4,2,0,1,0
465,0.0,3,0,2,1,0,1,0
466,0.0,3,0,3,1,0,1,0
467,0.0,2,0,2,0,0,1,0
468,0.0,1,0,5,2,0,1,0
469,0.0,3,0,2,1,1,1,0
470,1.0,3,1,0,2,2,2,1
471,0.0,3,0,2,1,0,1,0
472,0.0,3,0,3,1,0,1,0
473,1.0,2,1,3,2,0,3,1
474,1.0,2,1,2,2,2,3,0
475,0.0,3,1,2,1,0,2,0
476,0.0,1,0,3,3,0,1,0
477,0.0,2,0,3,2,0,1,1
478,0.0,3,0,2,1,0,1,1
479,0.0,3,0,2,1,0,1,0
480,1.0,3,1,0,2,0,2,1
481,0.0,3,0,0,3,0,4,2
482,0.0,2,0,2,0,0,1,0
483,0.0,3,0,4,1,0,1,0
484,1.0,3,1,6,1,0,3,0
485,1.0,1,0,2,3,2,1,1
486,0.0,3,1,2,2,0,2,2
487,1.0,1,1,3,3,0,3,1
488,0.0,1,0,5,2,2,1,0
489,0.0,3,0,2,1,0,1,0
490,1.0,3,0,0,2,0,4,1
491,0.0,3,0,2,2,0,1,1
492,0.0,3,0,2,1,0,1,0
493,0.0,1,0,5,2,0,1,0
494,0.0,1,0,7,3,2,1,0
495,0.0,3,0,2,1,0,1,0
496,0.0,3,0,2,2,2,1,0
497,1.0,1,1,5,3,2,2,1
498,0.0,3,0,2,2,0,1,0
499,0.0,1,1,2,4,0,3,1
500,0.0,3,0,2,1,0,1,0
501,0.0,3,0,1,1,0,1,0
502,0.0,3,1,2,1,1,2,0
503,0.0,3,1,2,1,1,2,0
504,0.0,3,1,3,1,0,2,0
505,1.0,1,1,1,3,0,2,0
506,0.0,1,0,1,3,2,1,1
507,1.0,2,1,3,2,0,3,1
508,1.0,1,0,3,2,0,1,0
509,0.0,3,0,2,2,0,1,0
510,1.0,3,0,2,3,0,1,0
511,1.0,3,0,2,1,1,1,0
512,0.0,3,0,2,1,0,1,0
513,1.0,1,0,3,2,0,1,0
514,1.0,1,1,5,3,2,3,1
515,0.0,3,0,2,1,0,1,0
516,0.0,1,0,4,2,0,1,0
517,1.0,2,1,3,1,0,3,0
518,0.0,3,0,2,2,1,1,0
519,1.0,2,1,3,2,0,3,1
520,0.0,3,0,3,1,0,1,0
521,1.0,1,1,2,3,0,2,0
522,0.0,3,0,2,1,0,1,0
523,0.0,3,0,2,1,2,1,0
524,1.0,1,1,4,3,2,3,1
525,0.0,3,0,2,1,2,1,0
526,0.0,3,0,3,1,1,1,0
527,1.0,2,1,4,1,0,2,0
528,0.0,1,0,3,4,0,1,0
529,0.0,3,0,3,1,0,1,0
530,0.0,2,0,2,2,0,1,1
531,1.0,2,1,0,2,0,2,1
532,0.0,3,0,2,1,2,1,0
533,0.0,3,0,1,1,2,1,1
534,1.0,3,1,2,2,2,3,1
535,0.0,3,1,2,1,0,2,0
536,1.0,2,1,0,2,0,2,1
537,0.0,1,0,4,2,0,5,0
538,1.0,1,1,2,3,2,2,0
539,0.0,3,0,2,2,0,1,0
540,1.0,1,1,2,3,2,2,1
541,1.0,1,1,3,3,0,2,1
542,0.0,3,1,0,2,0,2,2
543,0.0,3,1,1,2,0,2,2
544,1.0,2,0,3,2,0,1,1
545,0.0,1,0,4,3,2,1,1
546,0.0,1,0,6,2,0,1,0
547,1.0,2,1,1,2,0,3,1
548,1.0,2,0,2,2,2,1,0
549,0.0,3,0,3,2,0,1,1
550,1.0,2,0,0,2,0,4,1
551,1.0,1,0,1,3,2,1,1
552,0.0,2,0,2,2,0,1,0
553,0.0,3,0,2,1,1,1,0
554,1.0,3,0,2,1,2,1,0
555,1.0,3,1,2,1,0,2,0
556,0.0,1,0,6,2,0,1,0
557,1.0,1,1,4,2,2,2,1
558,0.0,1,0,3,4,2,1,0
559,1.0,1,1,3,3,0,3,1
560,1.0,3,1,3,2,0,3,1
561,0.0,3,0,2,1,1,1,0
562,0.0,3,0,3,1,0,1,0
563,0.0,2,0,2,2,0,1,0
564,0.0,3,0,2,1,0,1,0
565,0.0,3,1,2,1,0,2,0
566,0.0,3,0,2,2,0,1,1
567,0.0,3,0,1,1,0,1,0
568,0.0,3,1,2,2,0,3,2
569,0.0,3,0,2,1,2,1,0
570,1.0,3,0,3,1,0,1,0
571,1.0,2,0,6,1,0,1,0
572,1.0,1,1,5,3,0,3,1
573,1.0,1,0,3,2,0,1,0
574,1.0,3,1,2,1,1,2,0
575,0.0,3,0,1,1,0,1,0
576,0.0,3,0,1,2,0,1,0
577,1.0,2,1,3,2,0,2,0
578,1.0,1,1,3,3,0,3,1
579,0.0,3,1,2,2,2,3,1
580,1.0,3,0,3,1,0,1,0
581,1.0,2,1,2,2,0,2,1
582,1.0,1,1,3,3,2,3,1
583,0.0,2,0,5,2,0,1,0
584,0.0,1,0,3,2,2,1,0
585,0.0,3,0,2,1,2,1,0
586,1.0,1,1,1,3,0,2,1
587,0.0,2,0,4,2,0,1,0
588,1.0,1,0,5,3,2,1,1
589,0.0,3,0,2,1,0,1,0
590,0.0,3,0,2,1,0,1,0
591,0.0,3,0,3,1,0,1,0
592,1.0,1,1,5,3,2,3,1
593,0.0,3,0,4,1,0,1,0
594,0.0,3,1,2,1,1,2,1
595,0.0,2,0,3,2,0,1,1
596,0.0,3,0,3,2,0,1,1
597,1.0,2,1,2,2,0,2,0
598,0.0,3,0,4,0,0,1,0
599,0.0,3,0,2,1,2,1,0
600,1.0,1,0,4,3,2,1,1
601,1.0,2,1,2,2,0,3,1
602,0.0,3,0,2,1,0,1,0
603,0.0,1,0,3,3,0,1,0
604,0.0,3,0,4,1,0,1,0
605,1.0,1,0,3,2,2,1,0
606,0.0,3,0,3,2,0,1,1
607,0.0,3,0,2,1,0,1,0
608,1.0,1,0,2,2,0,1,0
609,1.0,2,1,2,3,2,3,1
610,1.0,1,1,3,4,0,2,0
611,0.0,3,1,3,2,0,3,2
612,0.0,3,0,2,1,0,1,0
613,1.0,3,1,2,2,1,2,1
614,0.0,3,0,2,1,1,1,0
615,0.0,3,0,3,1,0,1,0
616,1.0,2,1,2,3,0,2,1
617,0.0,3,0,3,2,0,1,1
618,0.0,3,1,2,2,0,3,1
619,1.0,2,1,0,2,0,2,1
620,0.0,2,0,2,1,0,1,0
621,0.0,3,0,2,2,2,1,1
622,1.0,1,0,4,3,0,1,1
623,1.0,3,0,1,2,2,1,1
624,0.0,3,0,2,1,0,1,0
625,0.0,3,0,2,2,0,1,0
626,0.0,1,0,6,2,0,1,0
627,0.0,2,0,5,2,1,5,0
628,1.0,1,1,2,3,0,2,0
629,0.0,3,0,2,1,0,1,0
630,0.0,3,0,2,1,1,1,0
631,1.0,1,0,7,2,0,1,0
632,0.0,3,0,5,1,0,1,0
633,1.0,1,0,3,2,2,5,0
634,0.0,1,0,3,0,0,1,0
